beruf,gebietsart,gebietsnummer,geburtsdatum,geschlecht,gruppe,name,namenszusatz,titel,vorname,vorperiode,wahlart,Gebiet,bundesland_kennung,bundesland,party
MdB / Gewerkschaftssekretär,LAND,9,1964,m,1,Burkert,0,0,Martin,J,Z,0,9.0,,SPD
Rechtsanwalt,LAND,5,1977,m,4,Buschmann,0,Dr.,Marco,N,Z,0,5.0,,FDP
Dipl.-Ingenieur,LAND,5,1951,m,4,Busen,0,0,Karlheinz,N,Z,0,5.0,,FDP
Informatiker,LAND,15,1990,m,35,Büttner,0,0,Matthias,N,Z,0,15.0,,AfD
Unternehmer,LAND,9,1972,m,35,Bystron,0,0,Petr,N,Z,0,9.0,,AfD
MdB / Hochschulprofessor,LAND,8,1974,m,1,Castellucci,0,Dr.,Lars,J,Z,0,8.0,,SPD
Geschäftsführer,LAND,6,1958,m,34,Cezanne,0,0,Jörg,N,Z,0,6.0,,Die Linke
wiss. Referentin,LAND,8,1983,w,5,Christmann,0,Dr.,Anna,N,Z,0,8.0,,Grüne
selbst. Malermeister,WAHLKREIS,157,1975,m,35,Chrupalla,0,0,Tino,N,E,Görlitz,14.0,,AfD
MdB / Rechtsanwältin,WAHLKREIS,25,1964,w,2,Connemann,0,0,Gitta,J,E,Unterems,3.0,,CDU/CSU
selbständig,LAND,6,1973,w,35,Cotar,0,0,Joana Eleonora,N,Z,0,6.0,,AfD
Unternehmer,LAND,5,1962,m,4,Cronenberg,0,0,Carl-Julius,N,Z,0,5.0,,FDP
MdAB,LAND,11,1960,m,35,Curio,0,Dr.,Gottfried,N,Z,0,11.0,,AfD
Journalistin,LAND,5,1975,w,34,Dağdelen,0,0,Sevim,J,Z,0,5.0,,Die Linke
MdB,LAND,5,1956,m,1,Daldrup,0,0,Bernhard,J,Z,0,5.0,,SPD
geschäftsf. Gesellschafterin Coaching und Beratung,WAHLKREIS,2,1958,w,2,Damerow,0,0,Astrid,N,E,Nordfriesland – Dithmarschen Nord,1.0,,CDU/CSU
Unternehmerin,LAND,9,1964,w,4,Dassler,0,0,Britta Katharina,N,Z,0,9.0,,FDP
Liederautor / Medienunternehmer,LAND,3,1950,m,34,Dehm-Desoi,0,Dr.,Jörg-Diether Wilhelm,J,Z,0,3.0,,Die Linke
MdB / Dipl.-Verwaltungswissenschaftlerin,LAND,9,1971,w,5,Deligöz,0,0,Ekin,J,Z,0,9.0,,Grüne
MdB / Dipl.-Chemiker,LAND,15,1961,m,1,Diaby,0,Dr.,Karamba,J,Z,0,15.0,,SPD
Rechtsanwältin / Notarin,WAHLKREIS,167,1965,w,1,Dilcher,0,0,Esther,N,E,Waldeck,6.0,,SPD
MdB,LAND,9,1964,w,1,Dittmar,0,0,Sabine,J,Z,0,9.0,,SPD
hauptamtl. Dezernent,LAND,5,1976,m,4,Djir-Sarai,0,0,Bijan,N,Z,0,5.0,,FDP
MdB,WAHLKREIS,226,1970,m,3,Dobrindt,0,0,Alexander,J,E,Weilheim,9.0,,CDU/CSU
Publizistin,LAND,12,1968,w,34,Domscheit-Berg,0,0,Anke,N,Z,0,12.0,,Die Linke
MdB,WAHLKREIS,289,1967,m,2,Donth,0,0,Michael,J,E,Reutlingen,8.0,,CDU/CSU
MdB,LAND,5,1976,w,5,Dörner,0,0,Katja,J,Z,0,5.0,,Grüne
Kauffrau im Einzelhandel,LAND,5,1953,w,2,Dött,0,0,Marie-Luise,J,Z,0,5.0,,CDU/CSU
Hotelkaufmann,LAND,14,1969,m,35,Droese,0,0,Siegbert,N,Z,0,14.0,,AfD
Dipl.-Volkswirtin,LAND,5,1984,w,5,Dröge,0,0,Katharina,J,Z,0,5.0,,Grüne
MdL / Dipl.-Ökonom,LAND,3,1977,m,4,Dürr,0,0,Christian,N,Z,0,3.0,,FDP
MdB,WAHLKREIS,253,1971,m,3,Durz,0,0,Hansjörg,J,E,Augsburg-Land,9.0,,CDU/CSU
Wirtschaftsprüfer / Steuerberater,LAND,11,1956,m,4,Ebbing,0,0,Hartmut Heinrich Wilhelm,N,Z,0,11.0,,FDP
MdB / Dipl.-Agraringenieur,LAND,8,1964,m,5,Ebner,0,0,Harald,J,Z,0,8.0,,Grüne
Pilot,LAND,3,1959,m,35,Ehrhorn,0,0,Thomas,N,Z,0,3.0,,AfD
Vertriebsleiter,LAND,5,1978,m,35,Elsner von Gronow,0,0,Gerhard Helmuth Berengar,N,Z,0,5.0,,AfD
Dipl.-Ing. Elektrotechnik (FH),WAHLKREIS,227,1974,m,3,Erndl,0,0,Thomas,N,E,Deggendorf,9.0,,CDU/CSU
MdB / Gewerkschaftssekretär,LAND,9,1954,m,34,Ernst,0,0,Klaus Friedrich,J,Z,0,9.0,,Die Linke
wiss. Mitarbeiterin,WAHLKREIS,132,1984,w,1,Esdar,0,0,Wiebke,N,E,Bielefeld – Gütersloh II,5.0,,SPD
MdB / Informatikerin,LAND,8,1961,w,1,Esken,0,0,Saskia,J,Z,0,8.0,,SPD
prom. Mathematiker,LAND,5,1989,m,35,Espendiller,0,Dr.,Michael,N,Z,0,5.0,,AfD
Angestellter,LAND,15,1984,m,4,Faber,0,Dr.,Marcus,N,Z,0,15.0,,FDP
