beruf,gebietsart,gebietsnummer,geburtsdatum,geschlecht,gruppe,name,namenszusatz,titel,vorname,vorperiode,wahlart,Gebiet,bundesland_kennung,bundesland,party
Dipl.-Kaufmann,WAHLKREIS,299,1979,m,2,Uhl,0,0,Markus Alexander,J,E,Homburg,10.0,,CDU/CSU
Universitätsprofessor für Infektiologie,LAND,9,1963,m,4,Ullmann,0,Prof. Dr.,Andrew,N,Z,0,9.0,,FDP
Ingenieur,LAND,16,1962,m,4,Ullrich,0,0,Gerald,N,Z,0,16.0,,FDP
MdB,WAHLKREIS,252,1975,m,3,Ullrich,0,Dr.,Volker Michael,J,E,Augsburg-Stadt,9.0,,CDU/CSU
MdB,LAND,7,1971,m,34,Ulrich,0,0,Alexander,J,Z,0,7.0,,Die Linke
MdB,WAHLKREIS,160,1955,m,2,Vaatz,0,0,Arnold,J,E,Dresden II – Bautzen II,14.0,,CDU/CSU
MdB,WAHLKREIS,177,1961,m,2,Veith,0,0,Oswin,J,E,Wetterau I,6.0,,CDU/CSU
MdB / Dipl.-Umweltwissenschaftlerin,LAND,3,1979,w,5,Verlinden,0,Dr.,Julia Maria Kornelia,J,Z,0,3.0,,Grüne
Betriebswirtin,WAHLKREIS,135,1976,w,2,Vieregge,0,0,Kerstin,N,E,Lippe I,5.0,,CDU/CSU
Politikwissenschaftler,LAND,5,1982,m,4,Vogel,0,0,Johannes,N,Z,0,5.0,,FDP
Dipl.-Ingenieur (FH),WAHLKREIS,194,1959,m,2,Vogel,0,0,Volkmar,J,E,Gera – Greiz – Altenburger Land,16.0,,CDU/CSU
MdB,LAND,5,1963,w,34,Vogler,0,0,Kathrin,J,Z,0,5.0,,Die Linke
MdB / Rechtsanwältin,LAND,8,1964,w,1,Vogt,0,0,Ute,J,Z,0,8.0,,SPD
selbst. Kaufmann,WAHLKREIS,117,1971,m,1,Vöpel,0,0,Dirk,J,E,Oberhausen – Wesel III,5.0,,SPD
Dipl.-Soziologe / ltd. Angestellter,LAND,2,1974,m,2,Vries,de,0,Christoph Bernhard,N,Z,0,2.0,,CDU/CSU
MdB,WAHLKREIS,71,1955,m,2,Vries,de,0,Kees,J,E,Anhalt,15.0,,CDU/CSU
MdB / Rechtsanwalt,WAHLKREIS,4,1963,m,2,Wadephul,0,Dr.,Johann David,J,E,Rendsburg-Eckernförde,1.0,,CDU/CSU
MdB,LAND,5,1969,w,34,Wagenknecht,0,Dr.,Sahra,J,Z,0,5.0,,Die Linke
Heilerziehungspfleger,LAND,9,1972,m,34,Wagner,0,0,Andreas,N,Z,0,9.0,,Die Linke
Stadträtin a. D.,LAND,6,1957,w,5,Wagner,0,0,Daniela,N,Z,0,6.0,,Grüne
MdB / Dipl.-Psychologin,LAND,9,1964,w,5,Walter-Rosenheimer,0,0,Beate,J,Z,0,9.0,,Grüne
MdB / Rechtsanwalt,WAHLKREIS,163,1975,m,2,Wanderwitz,0,0,Marco,J,E,Chemnitzer Umland – Erzgebirgskreis II,14.0,,CDU/CSU
MdB / Keramikmalerin,LAND,7,1955,w,1,Weber,0,0,Gabi,J,Z,0,7.0,,SPD
Vizepräsidentin SGD Nord,LAND,7,1969,w,4,Weeser,0,0,Sandra,N,Z,0,7.0,,FDP
MdB / Versicherungskaufmann,LAND,11,1972,m,2,Wegner,0,0,Kai,J,Z,0,11.0,,CDU/CSU
Beraterin von Start-Up-Unternehmen,LAND,8,1979,w,35,Weidel,0,0,Alice,N,Z,0,8.0,,AfD
Dipl.-Verwaltungswirt / Betriebswirt,WAHLKREIS,195,1965,m,2,Weiler,0,0,Albert Helmut,J,E,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,16.0,,CDU/CSU
MdB / Soziologe,LAND,9,1957,m,34,Weinberg,0,0,Harald,J,Z,0,9.0,,Die Linke
MdB,LAND,2,1967,m,2,Weinberg,0,0,Marcus,J,Z,0,2.0,,CDU/CSU
MdB / Rechtsanwältin,WAHLKREIS,250,1976,w,3,Weisgerber,0,Dr.,Anja,J,E,Schweinfurt,9.0,,CDU/CSU
MdB,WAHLKREIS,283,1956,m,2,Weiß,0,0,Peter Siegfried,J,E,Emmendingen – Lahr,8.0,,CDU/CSU
Rechtsanwältin,WAHLKREIS,113,1958,w,2,Weiss,0,0,Sabine Katharina,J,E,Wesel I,5.0,,CDU/CSU
MdB / Vors. Richter am LG a. D.,WAHLKREIS,271,1959,m,2,Wellenreuther,0,0,Ingo,J,E,Karlsruhe-Stadt,8.0,,CDU/CSU
MdB,WAHLKREIS,151,1985,m,2,Wendt,0,0,Marian,J,E,Nordsachsen,14.0,,CDU/CSU
Kauffrau im Einzelhandel,LAND,7,1973,w,34,Werner,0,0,Katrin,J,Z,0,7.0,,Die Linke
Fundraiserin,LAND,5,1967,w,4,Westig,0,0,Nicole,N,Z,0,5.0,,FDP
MdB,WAHLKREIS,48,1960,m,1,Westphal,0,0,Bernd Helmut,J,E,Hildesheim,3.0,,SPD
Professor der Betriebswirtschaft,LAND,5,1959,m,35,Weyel,0,Prof. Dr.,Harald,N,Z,0,5.0,,AfD
MdB / Wirtschaftswissenschaftler (M. Sc.),WAHLKREIS,273,1985,m,2,Whittaker,0,0,Kai,J,E,Rastatt,8.0,,CDU/CSU
MdB / parl. Staatssekretärin,WAHLKREIS,290,1966,w,2,Widmann-Mauz,0,0,Annette,J,E,Tübingen,8.0,,CDU/CSU
IT-Berater / Dipl.-Informatiker,LAND,9,1964,m,35,Wiehle,0,0,Wolfgang,N,Z,0,9.0,,AfD
Jurist,LAND,5,1983,m,1,Wiese,0,0,Dirk,J,Z,0,5.0,,SPD
Unternehmensberaterin,WAHLKREIS,183,1966,w,2,Wiesmann,0,0,Bettina Margarethe,N,E,Frankfurt am Main II,6.0,,CDU/CSU
Dipl.-Geologe,LAND,7,1952,m,35,Wildberg,0,Dr.,Heiko,N,Z,0,7.0,,AfD
Dipl.-Volkswirt,WAHLKREIS,178,1961,m,2,Willsch,0,0,Klaus-Peter,J,E,Rheingau-Taunus – Limburg,6.0,,CDU/CSU
Richterin a. D.,WAHLKREIS,97,1962,w,2,Winkelmeier-Becker,0,0,Elisabeth,J,E,Rhein-Sieg-Kreis I,5.0,,CDU/CSU
Rechtsanwalt,LAND,10,1963,m,35,Wirth,0,Dr.,Christian Friedrich,N,Z,0,10.0,,AfD
Dipl.-Personalwirt,LAND,5,1959,m,35,Witt,0,0,Uwe,N,Z,0,5.0,,AfD
Dipl.-Geograph,LAND,5,1966,m,2,Wittke,0,0,Oliver,J,Z,0,5.0,,CDU/CSU
MdB,LAND,5,1962,w,1,Yüksel,0,0,Gülistan,J,Z,0,5.0,,SPD
Journalist,LAND,5,1954,m,34,Zdebel,0,0,Hubertus,J,Z,0,5.0,,Die Linke
MdB,WAHLKREIS,240,1987,w,3,Zeulner,0,0,Emmi,J,E,Kulmbach,9.0,,CDU/CSU
Dipl.-Finanzökonomin,LAND,12,1960,w,1,Ziegler,0,0,Dagmar,J,Z,0,12.0,,SPD
Angestellter / Student,LAND,5,1985,m,2,Ziemiak,0,0,Paul,N,Z,0,5.0,,CDU/CSU
Werkzeugmacher / Touristikfachwirt,LAND,12,1970,m,1,Zierke,0,0,Stefan,J,Z,0,12.0,,SPD
Hochschullehrer,WAHLKREIS,182,1961,m,2,Zimmer,0,Prof. Dr.,Matthias Rainer,J,E,Frankfurt am Main I,6.0,,CDU/CSU
MdB,LAND,6,1981,m,1,Zimmermann,0,Dr.,Jens,J,Z,0,6.0,,SPD
Mediengestalterin,LAND,3,1956,w,34,Zimmermann,0,0,Pia-Beate,J,Z,0,3.0,,Die Linke
MdB,LAND,14,1960,w,34,Zimmermann,0,0,Sabine,J,Z,0,14.0,,Die Linke
