beruf,gebietsart,gebietsnummer,geburtsdatum,geschlecht,gruppe,name,vorname,vorperiode,wahlart,Gebiet,bundesland_kennung,bundesland,party
MdB / Dipl.-Ökotrophologin,WAHLKREIS,28,1964,w,2,Grotelüschen,Astrid Katharina Josefine,J,E,Delmenhorst – Wesermarsch – Oldenburg-Land,3,Niedersachsen,CDU/CSU
MdB / Polizeibeamter,LAND,9,1975,m,1,Grötsch,Uli,J,Z,0,9,Bayern,SPD
MdB / parl. Staatssekretär,WAHLKREIS,261,1959,m,2,Grübel,Markus,J,E,Esslingen,8,Baden-Württemberg,CDU/CSU
Dipl.-Elektroingenieur,WAHLKREIS,189,1955,m,2,Grund,Manfred,J,E,Eichsfeld – Nordhausen – Kyffhäuserkreis,16,Thüringen,CDU/CSU
Vertriebsmanager,LAND,9,1963,m,5,Grundl,Erhard,N,Z,0,9,Bayern,GRÜNE
MdB / Rechtsanwalt,WAHLKREIS,30,1971,m,2,Grundmann,Oliver Klaus,J,E,Stade I – Rotenburg II,3,Niedersachsen,CDU/CSU
Staatsministerin für Kultur und Medien,LAND,11,1962,w,2,Grütters,Monika,J,Z,0,11,Berlin,CDU/CSU
Senatorin a. D.,LAND,2,1949,w,2,Gundelach,Herlind,J,Z,0,2,Hamburg,CDU/CSU
MdB,LAND,3,1966,m,2,Güntzler,Fritz,J,Z,0,3,Niedersachsen,CDU/CSU
MdB / Rechtsanwalt,WAHLKREIS,278,1970,m,2,Gutting,Olav,J,E,Bruchsal – Schwetzingen,8,Baden-Württemberg,CDU/CSU
Rechtsanwalt,WAHLKREIS,84,1948,m,34,Gysi,Gregor,J,E,Berlin-Treptow-Köpenick,11,Berlin,DIE LINKE
Rechtsanwalt,LAND,5,1965,m,2,Haardt,Christian,N,Z,0,5,Nordrhein-Westfalen,CDU/CSU
Dipl.-Verwaltungswirt,WAHLKREIS,136,1966,m,2,Haase,Christian,J,E,Höxter – Lippe II,5,Nordrhein-Westfalen,CDU/CSU
MdB / Goldschmiedin,LAND,1,1955,w,1,Hagedorn,Bettina,J,Z,0,1,Schleswig-Holstein,SPD
MdB / Studienrätin,LAND,9,1970,w,1,Hagl-Kehl,Rita,J,Z,0,9,Bayern,SPD
MdB,LAND,14,1963,m,34,Hahn,André,J,Z,0,14,Sachsen,DIE LINKE
MdB,WAHLKREIS,221,1974,m,3,Hahn,Florian Peter,J,E,München-Land,9,Bayern,CDU/CSU
Dipl.-Psychologin,LAND,2,1963,w,5,Hajduk,Anja Margarete Helene,J,Z,0,2,Hamburg,GRÜNE
Volljurist,WAHLKREIS,23,1969,m,1,Hakverdi,Metin,J,E,Hamburg-Bergedorf – Harburg,2,Hamburg,SPD
Bergmann / Gewerkschaftssekretär,LAND,5,1964,m,1,Hampel,Ulrich,J,Z,0,5,Nordrhein-Westfalen,SPD
MdB,LAND,8,1966,w,34,Hänsel,Heike,J,Z,0,8,Baden-Württemberg,DIE LINKE
MdB / Rechtsanwalt,WAHLKREIS,277,1971,m,2,Harbarth,Stephan,J,E,Rhein-Neckar,8,Baden-Württemberg,CDU/CSU
MdB / Dipl.-Volkswirt,WAHLKREIS,103,1963,m,2,Hardt,Jürgen,J,E,Solingen – Remscheid – Wuppertal II,5,Nordrhein-Westfalen,CDU/CSU
MdB,LAND,5,1977,m,1,Hartmann,Sebastian,J,Z,0,5,Nordrhein-Westfalen,SPD
Dipl.-Sozialarbeiterin,LAND,5,1961,w,5,Haßelmann,Britta,J,Z,0,5,Nordrhein-Westfalen,GRÜNE
MdB / Rechtsanwalt,WAHLKREIS,120,1977,m,2,Hauer,Matthias,J,E,Essen III,5,Nordrhein-Westfalen,CDU/CSU
MdB / Politikwissenschaftler,WAHLKREIS,196,1984,m,2,Hauptmann,Mark,J,E,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,16,Thüringen,CDU/CSU
Rechtsanwalt,LAND,6,1982,m,2,Heck,Stefan,J,Z,0,6,Hessen,CDU/CSU
Dipl.-Kaufmann,LAND,3,1964,m,2,Hegewald,Reinhard,N,Z,0,3,Niedersachsen,CDU/CSU
Geschäftsführer,WAHLKREIS,119,1961,m,1,Heidenblut,Dirk,J,E,Essen II,5,Nordrhein-Westfalen,SPD
Rechtsanwalt,WAHLKREIS,149,1966,m,2,Heider,Matthias,J,E,Olpe – Märkischer Kreis I,5,Nordrhein-Westfalen,CDU/CSU
MdB / Politikwissenschaftler,WAHLKREIS,45,1972,m,1,Heil,Hubertus,J,E,Gifhorn – Peine,3,Niedersachsen,SPD
MdB / Dipl.-Ing. Architektur,WAHLKREIS,198,1961,w,2,Heil,Mechthild,J,E,Ahrweiler,7,Rheinland-Pfalz,CDU/CSU
Volljurist,WAHLKREIS,79,1964,m,2,Heilmann,Thomas,N,E,Berlin-Steglitz-Zehlendorf,11,Berlin,CDU/CSU
Theologe,WAHLKREIS,162,1964,m,2,Heinrich,Frank,J,E,Chemnitz,14,Sachsen,CDU/CSU
MdB / Redakteurin,LAND,9,1963,w,1,Heinrich,Gabriela,J,Z,0,9,Bayern,SPD
MdB / Volljurist,LAND,7,1977,m,1,Held,Marcus,J,Z,0,7,Rheinland-Pfalz,SPD
MdB / Betriebswirt,WAHLKREIS,3,1978,m,2,Helfrich,Mark,J,E,Steinburg – Dithmarschen Süd,1,Schleswig-Holstein,CDU/CSU
MdB,LAND,5,1958,m,1,Hellmich,Wolfgang,J,Z,0,5,Nordrhein-Westfalen,SPD
Bundesministerin,LAND,5,1952,w,1,Hendricks,Barbara,J,Z,0,5,Nordrhein-Westfalen,SPD
MdB / Arzt,WAHLKREIS,87,1954,m,2,Henke,Rudolf,J,E,Aachen I,5,Nordrhein-Westfalen,CDU/CSU
MdB,WAHLKREIS,262,1965,m,2,Hennrich,Michael,J,E,Nürtingen,8,Baden-Württemberg,CDU/CSU
Rechtsanwalt,WAHLKREIS,127,1976,m,2,Henrichmann,Marc,N,E,Coesfeld – Steinfurt II,5,Nordrhein-Westfalen,CDU/CSU
MdL / Staatsminister,LAND,9,1956,m,3,Herrmann,Joachim Franz Johannes,N,Z,0,9,Bayern,CDU/CSU
MdB / Chemielaborant,WAHLKREIS,209,1958,m,1,Herzog,Gustav,J,E,Kaiserslautern,7,Rheinland-Pfalz,SPD
MdB / Oberregierungsrat a. D.,WAHLKREIS,110,1972,m,2,Heveling,Ansgar,J,E,Krefeld I – Neuss II,5,Nordrhein-Westfalen,CDU/CSU
MdB,WAHLKREIS,11,1953,w,1,Hiller-Ohm,Gabriele,J,E,Lübeck,1,Schleswig-Holstein,SPD
Rechtsanwalt / Fachanwalt für Steuerrecht,WAHLKREIS,190,1976,m,2,Hirte,Christian,J,E,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,16,Thüringen,CDU/CSU
Universitätsprofessor,WAHLKREIS,94,1958,m,2,Hirte,Heribert,J,E,Köln II,5,Nordrhein-Westfalen,CDU/CSU
MdB,LAND,7,1982,m,1,Hitschler,Thomas,J,Z,0,7,Rheinland-Pfalz,SPD
MdB / Oberrechtsrat,WAHLKREIS,249,1975,m,3,Hoffmann,Alexander,J,E,Main-Spessart,9,Bayern,CDU/CSU
Dipl.-Biologin,LAND,6,1960,w,5,Hoffmann,Bettina,N,Z,0,6,Hessen,GRÜNE
MdB / Polizeihauptkommissar a. D.,LAND,5,1961,m,2,Hoffmann,Thorsten,J,Z,0,5,Nordrhein-Westfalen,CDU/CSU
MdB / Dipl.-Biologe,LAND,9,1970,m,5,Hofreiter,Anton,J,Z,0,9,Bayern,GRÜNE
MdB / Juristin,WAHLKREIS,75,1969,w,1,Högl,Eva,J,E,Berlin-Mitte,11,Berlin,SPD
MdL,LAND,15,1975,m,34,Höhn,Matthias,N,Z,0,15,Sachsen-Anhalt,DIE LINKE
MdB,WAHLKREIS,234,1956,m,3,Holmeier,Karl,J,E,Schwandorf,9,Bayern,CDU/CSU
MdL / Dipl.-Ökonom,LAND,3,1961,m,5,Holtz,Ottmar,N,Z,0,3,Niedersachsen,GRÜNE
MdB / Bürgermeister a. D.,WAHLKREIS,43,1972,m,2,Hoppenstedt,Hendrik,J,E,Hannover-Land I,3,Niedersachsen,CDU/CSU
MdB / Dipl.-Finanzwirtin(FH),LAND,8,1967,w,2,Horb,Margaret,J,Z,0,8,Baden-Württemberg,CDU/CSU
