Bundesland,CDU/CSU,SPD,Grüne,Die Linke,FDP,AfD,Other
Kulmbach,52.3,21.5,5.3,3.6,3.7,4.0,9.6
Ansbach,47.6,22.2,8.3,3.9,4.6,3.6,9.8
Erlangen,41.7,24.3,11.5,4.4,5.5,4.2,8.4
Fürth,42.8,25.2,9.1,5.0,4.7,4.4,8.8
Nürnberg-Nord,34.8,26.8,13.3,7.1,5.4,4.5,8.1
Nürnberg-Süd,40.5,28.5,8.0,5.8,4.2,4.8,8.2
Roth,45.5,24.5,8.5,3.8,4.5,3.9,9.3
Aschaffenburg,47.7,22.0,8.6,3.6,5.4,4.1,8.6
Bad Kissingen,53.9,18.2,6.4,4.5,4.8,3.2,9.0
Main-Spessart,49.5,21.6,7.1,3.4,4.5,3.9,10.0
Schweinfurt,51.0,20.6,7.1,5.0,4.2,3.3,8.8
Würzburg,44.9,22.5,11.7,4.0,5.1,3.9,7.9
Augsburg-Stadt,43.6,22.2,10.5,5.6,4.7,5.4,8.0
Augsburg-Land,53.7,17.2,7.2,3.2,4.6,5.2,8.9
Donau-Ries,55.5,16.7,6.0,3.3,4.5,4.2,9.8
Neu-Ulm,52.8,18.1,6.5,3.7,4.7,5.6,8.6
Oberallgäu,52.3,16.0,9.3,3.6,5.7,4.3,8.8
Ostallgäu,55.1,15.0,7.1,3.2,4.6,4.8,10.2
Bayern,49.3,20.0,8.4,3.8,5.1,4.3,9.1
Stuttgart I,37.5,21.0,17.5,6.2,8.3,4.1,5.4
Stuttgart II,39.3,22.9,13.8,6.7,6.7,4.5,6.1
Böblingen,46.8,20.1,10.3,4.4,7.1,5.1,6.2
Esslingen,44.8,21.9,12.0,4.6,6.1,4.5,6.1
Nürtingen,46.0,19.9,11.6,4.1,6.9,4.8,6.7
Göppingen,45.8,21.7,10.1,4.2,5.8,6.3,6.1
Waiblingen,45.6,20.1,10.3,4.5,7.8,5.4,6.3
Ludwigsburg,44.2,21.2,11.7,4.7,6.9,5.1,6.2
